key	text
definiteArticles	the
anyAdvice	щось порадите?
whoAreYou	хто ви?
buyAnAle	купити елю
buyABeer	купити пива
adviceKey	поради
aleKey	ель
beerKey	пиво
interlocutorKey	ваш співрозмовник
meKey	мене
notEnoughGold	У вас недостатньо золота.
boughtDrink	Ви купили {aleNpcName} {drinkType} за {alePrice} золотих.
knownCaptions	щось порадите?|хто ви?|купити елю|купити пива
repeatedResponses	Мені більше нічого сказати про [caption].|Може, вже досить про [caption].|Мені б дуже хотілося говорити не про [caption], %ra.|У вас що, помутніло в голові, %ra? Ми вже обговорювали [caption].|Може хватить гнати дохлого коня, %ra? Давайте відійдемо від теми про [caption].|У вас память, як у золотої рибки? Ми щойно говорили про [caption].|Досить вже, %ra. Мені набридло говорити про [caption].|Серйозно, %ra? Знову? Пошукайте собі когось іншого, щоб діставати.
exceededMaxResponses	Гадаю, ви вже досить змарнували мого часу, %ra.|Ідіть і приставайте з цим до когось іншого.|Перепрошую, у мене є інші справи.|Досить, %ra! Моє терпіння не безмежне і ви щойно його вичерпали.|Наша розмова закінчена, %ra. Ви починаєте мені набридати.|З мене досить. Жодних більше запитань, %ra.|Послухайте, %ra, я тут не для того, щоб відповідати на ваші нескінченні запитання.
firstAdviceVariants	Доброго дня, незнайомцю. Може маєте для мене якусь пораду?|Добрий день. Можливо, ви б могли дати мені якусь пораду?|Вітаю. Можливо у вас є якась порада для мене?
adviceVariants	Хм. У вас є якась порада для мене?|Зрозуміло. Можете дати мені якусь пораду?|Цікаво. Можливо у вас є якась порада для мене?
firstBuyAleVariants	Гарного дня! Можна пригостити вас пінтою елю?|Привіт! Що, якщо я пригощу вас елем?|Вітаю. Дозвольте пригостити вас випивкою.
buyAleVariants	Хм. Як щодо ще одного елю за мій рахунок?|Зрозуміло. Як щодо того, щоб випити ще по пінті?|Цікаво. Може, ще пінту, друже?
firstBuyBeerVariants	Гарного дня! Можна пригостити вас пінтою пива?|Привіт! Що, якщо я пригощу вас пивом?|Вітаю. Дозвольте пригостити вас випивкою.
buyBeerVariants	Хм. Як щодо ще одного пива за мій рахунок?|Зрозуміло. Як щодо того, щоб випити ще по пінті?|Цікаво. Може, ще пінту, друже?
firstWhoAreYouVariants	Доброго дня. Хто ви?|Вітаю. З ким я маю честь розмовляти?|Вітаю вас! Розкажіть мені трохи про себе.
whoAreYouVariants	Хм. Можете розповісти трохи про себе?|Зрозуміло. А хто ви, власне, такі?|Цікаво. Розкажіть про себе.
